No,Nama_Bahan,Porsi_g,Kalori_kal,Karbohidrat_g,Protein_g,Lemak_g,Serat_g
572,Mostarda metan - sawi hijau,100,33.0,4.7,2.3,0.5,1.8
573,"Nangka muda, segar",100,57.0,11.3,2.0,0.4,8.3
574,"Paria putih, segar",100,19.0,3.6,1.0,0.4,1.3
575,"Pepare ular, segar",100,19.0,3.9,0.6,0.1,1.0
576,"Pepaya muda, segar",100,29.0,4.9,2.1,0.1,2.1
577,"Petai, segar",100,92.0,15.2,5.4,1.1,2.0
578,"Peterseli, segar",100,53.0,9.0,3.7,1.0,
579,"Pucuk lumai/daun leunca, segar",100,33.0,2.8,4.5,0.4,
580,"Putri malu, segar",100,76.0,14.6,3.6,0.3,7.1
581,"Rebung, segar",100,25.0,5.3,0.8,0.1,9.7
582,"Rimbang, segar",100,75.0,15.8,1.6,0.6,10.0
583,Rumput laut,100,41.0,8.1,1.4,0.3,2.2
584,"Sawi, segar",100,28.0,4.0,2.3,0.3,2.5
585,"Sawi putih / pecai, segar",100,9.0,1.7,1.0,0.1,0.8
586,"Sawi taiwan, segar",100,30.0,4.4,1.9,0.5,2.7
587,"Sawi tanah, segar",100,19.0,2.9,1.3,0.2,2.2
588,"Selada, segar",100,18.0,2.9,1.2,0.2,1.8
589,"Selada air, segar",100,17.0,2.2,3.1,0.2,0.7
590,"Seledri, segar",100,23.0,4.6,1.0,0.1,2.0
591,"Taoge, segar",100,34.0,4.3,3.7,1.2,1.1
592,"Taoge kacang kedelai, segar",100,76.0,6.4,9.0,2.6,0.7
593,"Taoge kacang tunggak, segar",100,40.0,5.8,5.0,0.2,2.6
594,"Tebu terubuk (lilin), segar",100,30.0,3.0,4.6,0.4,0.8
595,"Tekokak, segar",100,34.0,7.9,2.0,0.1,4.9
596,"Tekokak, kering",100,302.0,72.6,8.3,1.7,21.2
597,"Terong, segar",100,28.0,5.5,1.1,0.2,2.1
598,"Terong asam, segar",100,37.0,6.3,2.0,0.4,3.2
599,"Terung belanda, segar",100,52.0,8.6,2.1,1.1,1.4
600,"Terung bengkulu, segar",100,52.0,11.2,1.1,0.4,3.2
601,"Terong hintalo, segar",100,45.0,7.5,1.9,0.8,5.1
602,Terung panjang,100,25.0,5.3,2.1,0.1,0.5
603,"Tomat, air (sari), segar",100,20.0,3.5,1.0,0.2,0.4
604,"Tomat merah, segar",100,24.0,4.7,1.3,0.5,
605,"Tomat muda, segar",100,24.0,3.3,2.0,0.7,1.8
606,"Uceng/ bunga melinjo, segar",100,82.0,11.7,5.8,1.3,4.8
607,"Umbut kelapa, segar",100,39.0,7.2,2.0,0.2,2.5
608,Umbut rotan,100,34.0,5.5,2.4,0.3,2.2
609,"Wortel, segar",100,36.0,7.9,1.0,0.6,1.0
610,Barongko,100,159.0,23.5,3.1,5.8,
611,Dodol nanas,100,338.0,80.3,1.5,1.2,
612,Getuk pisang,100,144.0,34.1,1.1,0.4,0.4
613,Keripik lampung,100,485.0,69.7,1.7,22.2,0.6
614,Ledre pisang,100,405.0,84.9,4.8,5.1,0.4
615,Lempog durian,100,320.0,63.7,3.5,5.7,4.9
616,Loka anjoro,100,163.0,30.0,1.1,4.3,
617,Rica-rica taipa,100,49.0,10.0,1.6,0.3,
618,Rujak aceh,100,82.0,19.7,0.4,0.3,2.4
619,Sale kesemek,100,296.0,71.4,1.1,0.6,
620,Sale pisang siam,100,281.0,66.1,2.4,0.7,1.0
621,"Sale pisang, cilacap",100,295.0,66.9,2.3,2.1,1.3
622,Sanggara belanda,100,242.0,38.2,6.4,7.1,
623,Tepung Pisang,100,338.0,80.6,2.9,0.4,5.3
624,Tepung Sukun,100,353.0,84.4,2.9,0.5,3.7
625,"Alpukat, segar",100,85.0,7.7,0.9,6.5,
626,"Anggur hutan, segar",100,30.0,6.8,0.5,0.2,1.2
627,"Apel malang, segar",100,57.0,12.8,0.5,0.4,0.8
628,"Apel, segar",100,58.0,14.9,0.3,0.4,2.6
629,"Arbai, segar",100,37.0,8.3,0.8,0.5,
630,"Belimbing, segar",100,36.0,8.8,0.4,0.4,3.3
631,"Biwah, segar",100,51.0,12.1,0.3,0.1,0.7
632,"Buah atung, segar",100,23.0,5.2,0.8,0.2,
633,"Buah kelenting, segar",100,110.0,21.4,1.4,2.1,
634,"Buah kom, segar",100,264.0,59.6,4.0,1.1,9.0
635,"Buah mentega (Bisbul), segar",100,39.0,9.7,0.7,0.2,2.0
636,"Buah Naga Merah, segar",100,71.0,9.1,1.7,3.1,3.2
637,"Buah Naga Putih, segar",100,56.0,10.9,0.8,1.0,3.2
638,"Buah negri, segar",100,55.0,12.2,1.2,0.1,5.2
639,"Buah nona, segar",100,101.0,25.2,1.7,0.6,2.8
640,"Buah rotan, segar",100,78.0,18.2,0.6,0.3,
641,"Buah rukam, segar",100,113.0,26.8,0.8,0.3,7.7
642,"Buah ruruhi, segar",100,29.0,3.6,2.1,0.7,2.6
643,"Buah tuppa, segar",100,67.0,15.9,0.4,0.2,
644,"Carica papaya, segar",100,24.0,3.7,1.9,0.2,1.0
645,"Cempedak, segar",100,116.0,28.6,3.0,0.4,3.4
646,"Duku, segar",100,63.0,16.1,1.0,0.2,4.3
647,"Durian, segar",100,134.0,28.0,2.5,3.0,3.5
648,"Duwet, segar",100,80.0,18.2,0.5,0.6,0.9
649,"Embacang, segar",100,98.0,25.4,1.4,0.2,1.9
650,"Encung asam, segar",100,122.0,17.5,3.5,4.5,9.3
651,"Erbis, segar",100,70.0,18.9,0.6,,7.7
652,Gandaria masak,100,68.0,18.0,0.7,0.1,2.2
653,"Gatep, segar",100,191.0,39.7,4.5,1.5,13.4
654,"Jambu air, segar",100,46.0,11.8,0.6,0.2,2.1
655,Jambu biji,100,49.0,12.2,0.9,0.3,2.4
656,Jambu biji putih tidak berbiji,100,61.0,15.4,0.9,0.3,4.5
657,"Jambu bol, segar",100,49.0,9.6,2.3,0.2,3.5
658,"Jambu monyet, segar",100,64.0,15.8,0.7,0.6,1.2
659,"Jeruk bali, segar",100,48.0,12.4,0.6,0.2,0.8
660,"Jeruk banjar, segar",100,61.0,14.1,0.8,0.2,
661,Jeruk garut-keprok,100,44.0,10.9,0.8,0.3,1.6
662,"Jeruk Kalamansi, segar",100,39.0,8.9,0.3,0.3,2.3
663,"Jeruk manis, segar",100,45.0,11.2,0.9,0.2,1.4
664,"Jeruk nipis, segar",100,44.0,10.0,0.5,0.2,0.4
665,"Jeruk ragi, segar",100,49.0,11.1,0.7,0.2,0.5
666,"Kawista, segar",100,120.0,20.8,3.5,2.5,4.6
667,"Kedondong masak, segar",100,46.0,10.3,1.0,0.1,2.6
668,"Kedondong, segar",100,47.0,10.4,0.5,0.2,2.7
669,"Kelapa hutan, kering",100,623.0,36.5,2.0,52.1,15.3
670,"Kelapa muda, daging, segar",100,68.0,14.0,1.0,0.9,
671,"Kemang, segar",100,48.0,11.9,1.0,0.2,1.7
672,"Kesemek, segar",100,78.0,20.0,0.8,0.4,0.6
673,"Kokosan, segar",100,86.0,13.0,1.6,0.2,1.4
674,"Kranji, segar",100,315.0,73.5,2.1,1.4,
675,"Langsat, segar",100,56.0,14.3,0.9,0.2,1.4
676,"Lemon, segar",100,34.0,6.2,0.5,0.8,0.1
677,"Lontar, segar",100,27.0,6.0,0.4,0.2,1.6
678,"Mangga, segar",100,52.0,12.3,0.7,,1.6
679,"Mangga benggala, segar",100,63.0,12.4,2.4,0.4,5.8
680,"Mangga gedung, segar",100,44.0,11.2,0.7,0.2,1.6
